"Nickel Concentration g/l(p0)","Nickel Concentration g/l(p1)","Nickel Concentration g/l(p2)","Nickel Concentration g/l(p3)","Nickel Concentration g/l(p4)","Nickel Type","Reducer (sodium hypophosphite) Concentration g/l(p0)","Reducer (sodium hypophosphite) Concentration g/l(p1)","Reducer (sodium hypophosphite) Concentration g/l(p2)","Reducer (sodium hypophosphite) Concentration g/l(p3)","Complexing Agent Concentration g/l 1","Complexing agent 1(p0)","Complexing agent 1(p1)","Complexing agent 1(p2)","Complexing agent concentration g/l 2","Complexing Agent 2","pH","Temperature(p0)","Temperature(p1)","Temperature(p2)","Temperature(p3)","Temperature(p4)","Substrate(p0)","Substrate(p1)","Substrate(p2)","Deposition Rate �m/h"
0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.152450090744102
0.887298334620742,0.276393202250021,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.221415607985481
0.5,0.5,0.974341649025257,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.339382940108893
0.887298334620742,0.276393202250021,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.114337568058076
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.895284707521048,0.271782267706181,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.196007259528131
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.5,0.984122918275927,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.348457350272232
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.36,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.337568058076225
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.48,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.404718693284936
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.56,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.43557168784029
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.112701665379258,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.137931034482759
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.887298334620742,0.276393202250021,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.20508166969147
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.288566243194192
0.5,0.947213595499958,0.341886116991581,0.377525512860841,0.4,1,0.5,0.956435464587639,0.338625693908024,0.375,0,0.091751709536137,0.264297739604484,0.333333333333333,0.5,1,0.28,0.5,0.5,0.974341649025257,0.377525512860841,0.4,0.908248290463863,0.264297739604484,0.333333333333333,0.38475499092559
